filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230117_020003,1,16,FALSE,JL,
SWIFT01_20230117_220039,0,57,FALSE,JL,
SWIFT01_20230117_220039,0,49,FALSE,JL,
SWIFT01_20230117_220039,0,36,FALSE,JL,
SWIFT01_20230117_220039,0,40,FALSE,JL,
SWIFT01_20230117_220039,1,56,FALSE,JL,
SWIFT01_20230117_220039,1,12,FALSE,JL,
SWIFT01_20230117_220039,1,5,FALSE,JL,
SWIFT01_20230117_220039,1,33,FALSE,JL,
SWIFT01_20230118_040004,0,19,FALSE,JL,
SWIFT01_20230118_040004,0,50,FALSE,JL,
SWIFT01_20230118_040004,0,48,FALSE,JL,
SWIFT01_20230118_040004,0,19,NA,JL,duplicate minute
SWIFT01_20230118_040004,0,18,FALSE,JL,
SWIFT01_20230118_040004,1,27,FALSE,JL,
SWIFT01_20230118_040004,1,38,FALSE,JL,
SWIFT01_20230118_040004,1,3,FALSE,JL,
SWIFT01_20230118_040004,1,2,FALSE,JL,
SWIFT01_20230118_060007,0,6,FALSE,JL,
SWIFT01_20230118_060007,0,0,FALSE,JL,
SWIFT01_20230118_060007,0,51,FALSE,JL,
SWIFT01_20230118_060007,0,45,FALSE,JL,
SWIFT01_20230118_060007,1,4,FALSE,JL,
SWIFT01_20230118_060007,1,3,FALSE,JL,
SWIFT01_20230118_060007,1,49,FALSE,JL,
SWIFT01_20230118_060007,1,4,NA,JL,duplicate minute
SWIFT01_20230118_060007,1,39,FALSE,JL,
SWIFT01_20230118_080010,0,31,FALSE,JL,
SWIFT01_20230118_080010,0,18,FALSE,JL,
SWIFT01_20230118_080010,0,5,TRUE,JL,
SWIFT01_20230118_080010,0,14,FALSE,JL,
SWIFT01_20230118_080010,1,24,FALSE,JL,
SWIFT01_20230118_080010,1,59,FALSE,JL,
SWIFT01_20230118_080010,1,9,FALSE,JL,
SWIFT01_20230118_080010,1,47,FALSE,JL,
SWIFT01_20230118_100012,0,19,FALSE,JL,
SWIFT01_20230118_100012,0,45,FALSE,JL,
SWIFT01_20230118_100012,0,50,FALSE,JL,
SWIFT01_20230118_100012,0,26,FALSE,JL,
SWIFT01_20230118_100012,1,4,FALSE,JL,
SWIFT01_20230118_100012,1,25,FALSE,JL,
SWIFT01_20230118_100012,1,5,FALSE,JL,
SWIFT01_20230118_100012,1,22,FALSE,JL,
SWIFT01_20230118_140019,0,16,TRUE,JL,
SWIFT01_20230118_140019,0,32,FALSE,JL,
SWIFT01_20230118_140019,0,3,TRUE,JL,
SWIFT01_20230118_140019,0,47,FALSE,JL,
SWIFT01_20230118_140019,1,8,FALSE,JL,
SWIFT01_20230118_140019,1,20,FALSE,JL,
SWIFT01_20230118_140019,1,8,NA,JL,
SWIFT01_20230118_140019,1,20,NA,JL,
SWIFT01_20230118_140019,1,51,FALSE,JL,
SWIFT01_20230118_140019,1,30,FALSE,JL,
SWIFT01_20230118_200024,0,39,FALSE,JL,
SWIFT01_20230118_200024,0,28,FALSE,JL,
SWIFT01_20230118_200024,0,10,FALSE,JL,
SWIFT01_20230118_200024,0,22,FALSE,JL,
SWIFT01_20230118_200024,1,22,FALSE,JL,
SWIFT01_20230118_200024,1,42,FALSE,JL,
SWIFT01_20230118_200024,1,26,FALSE,JL,
SWIFT01_20230118_200024,1,15,FALSE,JL,
